	name	place_id	types	lat	long
0	83 Proof	ChIJr29cEGOAhYARGODjlpUST5A	[bar, restaurant, food, point_of_interest, establishment]	37.7900567	-122.3977007
1	A'Gaci	ChIJVSjv47dmhYARFJi3vYC-QTg	[shoe_store, clothing_store, store, point_of_interest, establishment]	37.96819230000001	-122.0607534
2	Actual Cafe	ChIJJWkwLWF-hYARMvBio7rIkmA	[meal_takeaway, cafe, store, restaurant, food, point_of_interest, establishment]	37.846841	-122.2847402
3	Alana's Cafe	ChIJd2ozDayjj4ARRfACIFI2LuY	[cafe, restaurant, food, point_of_interest, establishment]	37.483561	-122.226574
4	Amelie	ChIJ88G-quuAhYAR7bj0Yhr8gwI	[liquor_store, store, restaurant, food, bar, point_of_interest, establishment]	37.7930855	-122.4210271
5	Angeline's Louisiana Kitchen	ChIJh_wjBJ1-hYARK2XCkZUkbg0	[restaurant, meal_takeaway, food, point_of_interest, establishment]	37.8682329	-122.2674992
6	Anthropologie	ChIJt0Qv0tx-hYARkOFQsWTWePw	[home_goods_store, clothing_store, store, point_of_interest, establishment]	37.86887499999999	-122.299665
7	Aquatic Park	ChIJQ09tqOGAhYARinfjX2EOfaM	[park, amusement_park, point_of_interest, establishment]	37.8078379	-122.424275
8	Arlequin Cafe & Food-To-Go	ChIJr7uwv5iAhYAR4OZfo28tCME	[cafe, bar, restaurant, food, point_of_interest, establishment]	37.777121	-122.422774
9	Au Coquelet	ChIJU4rlzp5-hYARhtqduurlWiE	[cafe, bar, restaurant, food, store, point_of_interest, establishment]	37.87163049999999	-122.270539
10	Auntie April's Chicken, Waffles, & Soul Food Restaurant	ChIJSyGZhgV_j4AR8gsKMwaE38c	[restaurant, food, point_of_interest, establishment]	37.7361328	-122.3904508
11	Avatar's	ChIJjdERDQWFhYARvpaghgB3HQ4	[cafe, restaurant, food, point_of_interest, establishment]	37.8685356	-122.5017978
12	Avenue	ChIJhw93A9hmhYARPsNerJ_46nk	[clothing_store, store, point_of_interest, establishment]	37.9748664	-122.0392575
13	Aziza	ChIJb-KW6Q-HhYAR4NlucuMP_HE	[bar, restaurant, food, point_of_interest, establishment]	37.7804422	-122.4817328
14	Baby Gap	ChIJrcbDd0GHj4AROcWbRC1JjkY	[clothing_store, store, point_of_interest, establishment]	37.8104576	-122.2456153
15	Balboa Cafe	ChIJYXn3mdCAhYAR97Hkb3wD660	[cafe, bar, restaurant, food, point_of_interest, establishment]	37.7988162	-122.4361023
16	Bar Agricole	ChIJCSdjKSZ-j4ARY5HrLSxbatQ	[bar, restaurant, food, point_of_interest, establishment]	37.77131990000001	-122.4131368
17	BCBG	ChIJMVeA3o6AhYARmEbQ6kLfKtM	[clothing_store, store, point_of_interest, establishment]	37.78748820000001	-122.408603
18	bebe Bay Street	ChIJx1wl3UN-hYARYu9AJY90uUA	[clothing_store, store, point_of_interest, establishment]	37.8354084	-122.2919952
19	Bedwell Bayfront Park	ChIJKd3b4cy8j4ARoYmzezJVPko	[park, point_of_interest, establishment]	37.49258309999999	-122.1731859
20	Beehive Clothing	ChIJF4kIsLmHj4ARts2huZUErJ0	[clothing_store, store, point_of_interest, establishment]	37.8121035	-122.2007004
21	Bender's Bar & Grill	ChIJj1AKlzt-j4ARCHHWunlrEcw	[bar, restaurant, food, point_of_interest, establishment]	37.7601817	-122.4173055
22	Benu	ChIJSToWqn2AhYAR1CuH2iGMvuo	[restaurant, food, point_of_interest, establishment]	37.78545200000001	-122.399036
23	Bill's Cafe	ChIJ9VUClAvLj4ARHWChPIsYVZA	[cafe, bar, restaurant, food, point_of_interest, establishment]	37.3430508	-121.9283595
24	Bix	ChIJDZ0ZOPWAhYARkZFd-uCioMs	[night_club, bar, restaurant, food, point_of_interest, establishment]	37.79687120000001	-122.4029298
25	Blue Bottle Coffee	ChIJSy28upiAhYARkoxpzFnW7b4	[cafe, food, store, point_of_interest, establishment]	37.776196	-122.423316
26	Blush! Wine Bar	ChIJpyuHNRt-j4ARi-WLHR3Fsto	[restaurant, food, bar, point_of_interest, establishment]	37.7612941	-122.435208
27	Boulevard	ChIJF-zbSmSAhYARvOafjdCRszQ	[restaurant, food, point_of_interest, establishment]	37.79332	-122.392761
28	Brazil Cafe	ChIJMcOsP55-hYARHTQro0WwlGY	[meal_takeaway, restaurant, food, point_of_interest, establishment]	37.8724932	-122.2667843
29	Brenda's French Soul Food	ChIJZ9s5SJeAhYARIX3Fxl6oj6c	[restaurant, food, point_of_interest, establishment]	37.78291480000001	-122.4189456
30	Buena Vista Park	ChIJc-fv16uAhYARQNxL3WZRYHw	[park, natural_feature, point_of_interest, establishment]	37.7682033	-122.4417696
31	Cafe Venetia	ChIJkb6X_zi7j4ARKwExaaqqq2A	[cafe, store, bar, food, point_of_interest, establishment]	37.4474732	-122.1603069
32	Cavallo Point Lodge	ChIJi3J-pCWEhYARxYRB_BqquOA	[spa, health, lodging, point_of_interest, establishment]	37.8376611	-122.4793772
33	César Chávez Park	ChIJFTWqXi5_hYARimk-cK6Tl_g	[park, point_of_interest, establishment]	37.87162139999999	-122.3204121
34	Chapeau!	ChIJs0HxgDmHhYARAoIYlNJMScA	[bar, restaurant, food, point_of_interest, establishment]	37.7833381	-122.4606898
35	Charlotte Russe	ChIJ0aBPHbhmhYAR7gpNiGXs34Q	[shoe_store, clothing_store, jewelry_store, store, point_of_interest, establishment]	37.968159	-122.060617
36	Chez Panisse	ChIJcYtcJaF-hYAR-VzrwZpQY0E	[restaurant, cafe, food, bar, point_of_interest, establishment]	37.8795896	-122.2689645
37	Cigar Bar & Grill	ChIJWdokI_WAhYARtk-RF_um-ks	[bar, restaurant, food, point_of_interest, establishment]	37.7970705	-122.4033862
38	Commonwealth	ChIJoyoBvjx-j4ARNUWlMkjGUL4	[restaurant, food, point_of_interest, establishment]	37.7613187	-122.41964
39	Corona Heights Park	ChIJX3DWQgJ-j4ARxWqSTDOy_CU	[park, point_of_interest, establishment]	37.7653122	-122.4385846
40	Cotogna	ChIJA0YvGPWAhYAReXmaDTTdWzU	[restaurant, food, point_of_interest, establishment]	37.7974446	-122.4035755
41	Coupa Cafe	ChIJY5UIijm7j4ARPkLgY0DXJuI	[cafe, restaurant, food, store, point_of_interest, establishment]	37.44468	-122.1615308
42	Coyote Hills Regional Park	ChIJRT7ghwq-j4ARQ68X9Fox0kE	[park, point_of_interest, establishment]	37.5532826	-122.0854353
