place_A,Lat_A,Lon_A,place_B,Lat_B,Lon_B
26_BLUE BOTTLE COFFEE,37.776196,-122.42331599999999,31_BROWN SUGAR KITCHEN,37.820327899999995,-122.28879679999999
26_BLUE BOTTLE COFFEE,37.776196,-122.42331599999999,38_CHEESE BOARD PIZZA,37.87987229999999,-122.2694794
26_BLUE BOTTLE COFFEE,37.776196,-122.42331599999999,142_STABLE CAFE,37.76323670000001,-122.4154832
26_BLUE BOTTLE COFFEE,37.776196,-122.42331599999999,156_THE SLANTED DOOR,37.796188799999996,-122.39404099999999
26_BLUE BOTTLE COFFEE,37.776196,-122.42331599999999,158_TILDEN REGIONAL PARK,37.892767000000006,-122.242451
31_BROWN SUGAR KITCHEN,37.820327899999995,-122.28879679999999,26_BLUE BOTTLE COFFEE,37.776196,-122.42331599999999
31_BROWN SUGAR KITCHEN,37.820327899999995,-122.28879679999999,38_CHEESE BOARD PIZZA,37.87987229999999,-122.2694794
31_BROWN SUGAR KITCHEN,37.820327899999995,-122.28879679999999,142_STABLE CAFE,37.76323670000001,-122.4154832
31_BROWN SUGAR KITCHEN,37.820327899999995,-122.28879679999999,156_THE SLANTED DOOR,37.796188799999996,-122.39404099999999
31_BROWN SUGAR KITCHEN,37.820327899999995,-122.28879679999999,158_TILDEN REGIONAL PARK,37.892767000000006,-122.242451
38_CHEESE BOARD PIZZA,37.87987229999999,-122.2694794,26_BLUE BOTTLE COFFEE,37.776196,-122.42331599999999
38_CHEESE BOARD PIZZA,37.87987229999999,-122.2694794,31_BROWN SUGAR KITCHEN,37.820327899999995,-122.28879679999999
38_CHEESE BOARD PIZZA,37.87987229999999,-122.2694794,142_STABLE CAFE,37.76323670000001,-122.4154832
38_CHEESE BOARD PIZZA,37.87987229999999,-122.2694794,156_THE SLANTED DOOR,37.796188799999996,-122.39404099999999
38_CHEESE BOARD PIZZA,37.87987229999999,-122.2694794,158_TILDEN REGIONAL PARK,37.892767000000006,-122.242451
142_STABLE CAFE,37.76323670000001,-122.4154832,26_BLUE BOTTLE COFFEE,37.776196,-122.42331599999999
142_STABLE CAFE,37.76323670000001,-122.4154832,31_BROWN SUGAR KITCHEN,37.820327899999995,-122.28879679999999
142_STABLE CAFE,37.76323670000001,-122.4154832,38_CHEESE BOARD PIZZA,37.87987229999999,-122.2694794
142_STABLE CAFE,37.76323670000001,-122.4154832,156_THE SLANTED DOOR,37.796188799999996,-122.39404099999999
142_STABLE CAFE,37.76323670000001,-122.4154832,158_TILDEN REGIONAL PARK,37.892767000000006,-122.242451
156_THE SLANTED DOOR,37.796188799999996,-122.39404099999999,26_BLUE BOTTLE COFFEE,37.776196,-122.42331599999999
156_THE SLANTED DOOR,37.796188799999996,-122.39404099999999,31_BROWN SUGAR KITCHEN,37.820327899999995,-122.28879679999999
156_THE SLANTED DOOR,37.796188799999996,-122.39404099999999,38_CHEESE BOARD PIZZA,37.87987229999999,-122.2694794
156_THE SLANTED DOOR,37.796188799999996,-122.39404099999999,142_STABLE CAFE,37.76323670000001,-122.4154832
156_THE SLANTED DOOR,37.796188799999996,-122.39404099999999,158_TILDEN REGIONAL PARK,37.892767000000006,-122.242451
158_TILDEN REGIONAL PARK,37.892767000000006,-122.242451,26_BLUE BOTTLE COFFEE,37.776196,-122.42331599999999
158_TILDEN REGIONAL PARK,37.892767000000006,-122.242451,31_BROWN SUGAR KITCHEN,37.820327899999995,-122.28879679999999
158_TILDEN REGIONAL PARK,37.892767000000006,-122.242451,38_CHEESE BOARD PIZZA,37.87987229999999,-122.2694794
158_TILDEN REGIONAL PARK,37.892767000000006,-122.242451,142_STABLE CAFE,37.76323670000001,-122.4154832
158_TILDEN REGIONAL PARK,37.892767000000006,-122.242451,156_THE SLANTED DOOR,37.796188799999996,-122.39404099999999
